tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,2015,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,10800,ABQ,BUR,47.22222222,207.4472941,WN,0.861176471,203.1959016,WN,0.861176471,203.1959016
Table 1a,2015,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,10821,ABQ,BWI,171.4444444,267.4259883,WN,0.824368114,257.5813679,WN,0.824368114,257.5813679
Table 1a,2015,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,10140,11259,ABQ,DAL,323.4444444,195.7795259,WN,0.997938853,195.5697418,WN,0.997938853,195.5697418
Table 1a,2015,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,11278,ABQ,DCA,190.3333333,291.114244,WN,0.388791594,269.7157658,WN,0.388791594,269.7157658
Table 1a,2015,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,10140,11298,ABQ,DFW,187,246.5827689,AA,0.925727867,245.3764442,UA,0.032679739,229.3672727
Table 1a,2015,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,11618,ABQ,EWR,57.88888889,289.7101727,UA,0.383877159,297.859,WN,0.270633397,207.1489362
Table 1a,2015,1,30140,31453,"Albuquerque, NM","Houston, TX",759,10140,12191,ABQ,HOU,191.6666667,225.0211014,WN,0.979710145,224.7449112,WN,0.979710145,224.7449112
Table 1a,2015,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12197,ABQ,HPN,3.888888889,363.52,DL,0.485714286,363.8235294,UA,0.171428571,272.3333333
Table 1a,2015,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,10140,12264,ABQ,IAD,72,320.4933642,UA,0.435185185,345.1794326,WN,0.302469136,286.8193878
Table 1a,2015,1,30140,31453,"Albuquerque, NM","Houston, TX",759,10140,12266,ABQ,IAH,105.3333333,245.560865,UA,0.861814346,244.1764994,AA,0.093881857,241.9022472
Table 1a,2015,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12391,ABQ,ISP,6.444444444,219.1034483,WN,0.965517241,212.4107143,WN,0.965517241,212.4107143
Table 1a,2015,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12478,ABQ,JFK,135.7777778,180.7211129,B6,0.867430442,165.2816038,B6,0.867430442,165.2816038
Table 1a,2015,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12892,ABQ,LAX,478,177.303603,WN,0.771734077,174.2274398,WN,0.771734077,174.2274398
Table 1a,2015,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,12953,ABQ,LGA,131.7777778,239.4830523,AA,0.451939292,244.6177239,WN,0.303541315,186.7872222
Table 1a,2015,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12954,ABQ,LGB,11,200.2414141,US,0.848484848,198.4928571,DL,0.070707071,164.4285714
Table 1a,2015,1,30140,30977,"Albuquerque, NM","Chicago, IL",1121,10140,13232,ABQ,MDW,120.6666667,246.2720994,WN,0.976979742,245.467295,WN,0.976979742,245.467295
Table 1a,2015,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,13796,ABQ,OAK,256.1111111,223.3521909,WN,0.948373102,223.436688,DL,0.021258134,202.6408163
Table 1a,2015,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,13891,ABQ,ONT,66.88888889,215.8089701,WN,0.704318937,211.5721698,WN,0.704318937,211.5721698
Table 1a,2015,1,30140,30977,"Albuquerque, NM","Chicago, IL",1121,10140,13930,ABQ,ORD,90.88888889,286.400489,UA,0.462102689,273.6761905,UA,0.462102689,273.6761905
Table 1a,2015,1,30140,30466,"Albuquerque, NM","Phoenix, AZ",328,10140,14107,ABQ,PHX,691,164.6961087,WN,0.805113362,168.438566,US,0.184273999,149.4136998
Table 1a,2015,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,14771,ABQ,SFO,135.3333333,212.385468,WN,0.457307061,199.6692998,WN,0.457307061,199.6692998
Table 1a,2015,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,14831,ABQ,SJC,70.77777778,256.2978022,WN,0.712715856,253.4048458,WN,0.712715856,253.4048458
Table 1a,2015,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,14908,ABQ,SNA,80.88888889,207.7090659,WN,0.721153846,204.2994286,US,0.168956044,203.7130081
Table 1a,2015,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,10140,15070,ABQ,SWF,0.666666667,231.9333333,DL,0.5,226.3333333,DL,0.5,226.3333333
Table 1a,2015,1,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",977,10158,11697,ACY,FLL,621.3333333,100.4756974,NK,1,100.4756974,NK,1,100.4756974
Table 1a,2015,1,30158,33195,"Atlantic City, NJ","Tampa, FL (Metropolitan Area)",913,10158,15304,ACY,TPA,210.8888889,91.2125922,NK,1,91.2125922,NK,1,91.2125922
Table 1a,2015,1,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",325,10257,10821,ALB,BWI,182.5555556,164.7967742,WN,0.989044431,163.2716308,WN,0.989044431,163.2716308
Table 1a,2015,1,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",325,10257,11278,ALB,DCA,157.1111111,190.149505,US,0.929278642,187.4194825,US,0.929278642,187.4194825
Table 1a,2015,1,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",1225,10257,11697,ALB,FLL,400.1111111,211.6723966,WN,0.79144682,212.1264211,UA,0.027770064,181.776
Table 1a,2015,1,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",325,10257,12264,ALB,IAD,23.88888889,201.6688372,UA,0.948837209,199.7656863,UA,0.948837209,199.7656863
Table 1a,2015,1,30257,30977,"Albany, NY","Chicago, IL",723,10257,13232,ALB,MDW,73.77777778,218.9114458,WN,0.972891566,218.4543344,WN,0.972891566,218.4543344
Table 1a,2015,1,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",1225,10257,13303,ALB,MIA,39.44444444,281.4577465,US,0.461971831,274.995122,UA,0.107042254,226.1026316
Table 1a,2015,1,30257,30977,"Albany, NY","Chicago, IL",723,10257,13930,ALB,ORD,136.5555556,260.8685924,UA,0.763222132,273.2577825,US,0.121236778,195.2610738
Table 1a,2015,1,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",1130,10257,15304,ALB,TPA,400,198.8420278,WN,0.781388889,196.4564166,UA,0.045555556,167.8939024
Table 1a,2015,1,30279,30194,"Amarillo, TX","Dallas/Fort Worth, TX",323,10279,11259,AMA,DAL,223.4444444,162.5831427,WN,0.994032819,162.6134067,WN,0.994032819,162.6134067
