QUARTER,CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,FLIGHT_TIME,CANCELLED
1,AA,ATL,DFW,11.102,5.272,145.486,0.04
1,AA,ATL,LAX,6.463,1.238,294.012,0.012
1,AA,ATL,MIA,2.57,2.207,114.809,0.006
1,AA,ATL,ORD,-4,3.333,139.333,0
1,AA,BOS,DFW,8.027,4.251,267.373,0.091
1,AA,BOS,JFK,11.318,13.896,82.642,0.092
1,AA,BOS,LAX,5.022,-1.8,391.385,0.045
1,AA,BOS,MIA,8.508,4.141,214.293,0.059
1,AA,BOS,ORD,11.693,9.161,174.453,0.076
1,AA,BWI,DFW,23.988,16.396,211.819,0.052
1,AA,BWI,MIA,12.535,10.795,165.081,0.011
1,AA,CLT,DFW,3.917,1.048,174.929,0.053
1,AA,CLT,IAH,21.921,19.944,169.292,0.011
1,AA,CLT,JFK,14.776,23.553,114.618,0.106
1,AA,CLT,MIA,3.607,1.87,122.63,0.03
1,AA,CLT,ORD,8.12,5.389,125.204,0.029
1,AA,DCA,DFW,8.992,4.544,211.108,0.066
1,AA,DCA,JFK,36.049,46.716,84.889,0.09
1,AA,DCA,LAX,9.799,-1.379,352.684,0.028
1,AA,DCA,MIA,12.612,9.087,163.407,0.033
1,AA,DCA,ORD,6.99,5.26,130.122,0.066
1,AA,DEN,DFW,12.995,14.424,118.284,0.033
1,AA,DEN,MIA,14.16,12.24,224.494,0
1,AA,DEN,ORD,13.977,13.492,143.469,0.011
1,AA,DFW,ATL,10.134,9.766,118.858,0.039
1,AA,DFW,BOS,11.367,11.122,203.226,0.091
1,AA,DFW,BWI,11.232,10.755,164.913,0.053
1,AA,DFW,CLT,8.229,6.26,134.53,0.053
1,AA,DFW,DCA,9.704,9.189,160.651,0.064
1,AA,DFW,DEN,11.046,9.351,121.768,0.03
1,AA,DFW,DTW,11.412,8.777,149.506,0.05
1,AA,DFW,EWR,11.71,15.723,191.886,0.088
1,AA,DFW,FLL,10.162,6.776,155.636,0.04
1,AA,DFW,HNL,37.963,33.543,515.979,0.011
1,AA,DFW,IAD,9.251,7.945,156.525,0.045
1,AA,DFW,IAH,9.834,9.601,65.256,0.038
1,AA,DFW,JFK,13.385,11.198,202.308,0.052
1,AA,DFW,LAS,10.346,2.114,172.317,0.034
1,AA,DFW,LAX,15.117,6.462,196.255,0.028
1,AA,DFW,LGA,10.752,9.173,188.888,0.081
